ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
447,17,1039,89,-7690,1953,-4150,8,66,86,6989,80631
447,5,1039,93,-244,0,-1953,8,66,85,6989,80636
448,11,1029,91,-2685,3173,3051,8,66,85,6989,80641
448,17,1039,89,2563,4150,-976,8,66,85,6989,80646
448,15,1039,91,610,1953,10375,8,66,85,6989,80651
449,9,1031,93,-7446,488,-6713,8,66,85,6989,80656
447,9,1037,91,-7446,-244,-6469,8,66,85,6989,80661
449,13,1039,91,1220,732,3417,8,66,85,6989,80666
447,15,1041,87,-2441,2929,-122,8,65,85,6987,80671
447,13,1035,91,3051,-610,-1586,8,65,85,6987,80676
447,7,1033,91,4394,0,1098,8,65,85,6987,80681
447,11,1035,91,2197,6958,-1953,8,65,85,6987,80686
447,15,1035,93,-854,3295,-7690,8,65,85,6987,80691
447,15,1031,89,-7690,366,2197,8,65,85,6987,80696
448,15,1035,93,-854,3906,122,8,65,85,6987,80701
447,15,1033,91,3295,5371,4028,8,66,85,6989,80706
447,11,1041,87,-8544,-8056,-4394,8,66,85,6989,80711
447,13,1035,89,-5371,0,-5493,8,66,85,6989,80716
447,9,1035,91,366,-1464,1586,8,66,85,6989,80721
448,17,1037,91,-4028,1464,-244,8,66,85,6989,80726
447,15,1039,91,-3906,1953,-732,8,66,85,6989,80731
448,13,1031,89,3662,-366,-4516,8,66,85,6989,80736
448,13,1035,91,1098,-6225,5981,8,66,85,6990,80741
449,17,1033,89,3173,1342,2075,8,66,85,6990,80746
448,19,1039,91,-1220,4028,-1831,8,66,85,6990,80751
448,15,1029,91,-244,-4028,-732,8,66,85,6990,80756
448,13,1037,89,-488,1953,3906,8,66,85,6990,80761
448,11,1039,89,-4638,610,-4150,8,66,85,6990,80766
447,11,1033,89,-2685,-244,2685,8,66,85,6990,80771
448,13,1039,89,4516,-610,-5615,8,67,86,6989,80776
449,9,1035,87,-122,1342,-1220,8,67,86,6989,80781
449,11,1035,91,-1098,-1953,-4882,8,67,86,6989,80786
446,15,1029,91,-3173,5126,-1220,8,67,86,6989,80791
447,13,1033,89,7934,4638,4272,8,67,86,6989,80796
447,13,1035,85,-4272,-732,-854,8,67,86,6989,80801
447,13,1039,91,-4394,-4516,-6835,9,66,86,6989,80806
447,5,1033,87,-732,0,-732,9,66,86,6989,80811
448,13,1035,85,-122,2197,-1708,9,66,86,6989,80816
449,13,1037,93,1098,4394,-2197,9,66,86,6989,80821
446,13,1033,87,-732,122,488,9,66,86,6989,80826
447,17,1037,87,-976,5737,2319,9,66,86,6989,80831
447,19,1035,91,976,-244,-976,9,66,86,6989,80836
447,19,1037,91,-2075,-1220,-1831,8,65,86,6988,80841
448,17,1037,91,-2929,-3906,-3051,8,65,86,6988,80846
448,17,1035,87,122,610,2075,8,65,86,6988,80851
446,13,1039,91,-2319,-244,-1708,8,65,86,6988,80856
448,15,1033,91,610,488,3784,8,65,86,6988,80861
448,13,1037,89,-1464,1708,1220,8,65,86,6988,80866
448,15,1035,89,610,366,-4394,8,65,86,6988,80871
449,13,1035,89,-1342,-488,-244,8,65,85,6987,80876
447,17,1035,91,-4638,-6469,-1831,8,65,85,6987,80881
447,17,1037,91,-1464,-366,-7934,8,65,85,6987,80886
447,13,1033,93,-6469,2075,1342,8,65,85,6987,80891
447,9,1037,91,3662,976,-244,8,65,85,6987,80896
448,11,1035,91,2197,-488,1586,8,65,85,6987,80901
447,13,1033,93,6225,854,2685,8,65,85,6987,80906
449,11,1037,91,5249,366,-2685,8,66,86,6989,80911
447,7,1037,91,-976,-1342,3051,8,66,86,6989,80916
447,13,1033,91,-976,0,-1220,8,66,86,6989,80921
448,15,1033,89,976,2319,2197,8,66,86,6989,80926
447,13,1037,85,-610,4028,2807,8,66,86,6989,80931
447,15,1033,91,976,3295,-4882,8,66,86,6989,80936
448,5,1035,89,366,1953,-5126,8,66,86,6989,80941
447,17,1029,91,1586,2929,5615,10,66,86,6989,80946
448,13,1033,91,5737,4882,-732,10,66,86,6989,80951
447,15,1035,91,-366,-3295,5126,10,66,86,6989,80956
448,13,1031,93,366,-610,4272,10,66,86,6989,80961
449,15,1039,91,-4516,-3417,0,10,66,86,6989,80966
446,15,1033,91,-854,-366,-8789,10,66,86,6989,80971
446,15,1039,93,-2197,-4516,2807,10,66,86,6989,80976
448,9,1037,89,-1586,-3540,4760,9,67,86,6988,80981
448,9,1039,89,122,-4394,3173,9,67,86,6988,80986
447,19,1035,93,4760,366,-854,9,67,86,6988,80991
448,17,1039,87,732,-6469,1220,9,67,86,6988,80996
448,9,1035,89,-366,2441,-2685,9,67,86,6988,81001
447,7,1035,89,976,244,-1342,9,67,86,6988,81006
449,7,1033,91,2563,-2685,4638,9,67,86,6988,81011
448,15,1039,89,5859,4028,1708,9,66,85,6988,81016
448,15,1039,89,2929,-4272,-976,9,66,85,6988,81021
447,11,1037,89,-2807,-2197,-7446,9,66,85,6988,81026
447,17,1037,87,-3295,-5981,-4760,9,66,85,6988,81031
447,13,1033,93,2319,3173,-732,9,66,85,6988,81036
