,ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding
595645,-1.419633,-0.8035542,-1.0858501,0.6114801,0.46458143,0.71015155,-0.5696909000000001,0.6635052,-2.4926937000000002,-1.6012881,-1.8643025000000002,-1.8391341
595646,-1.4197875,-0.8039533,-1.1571573,0.53536004,0.5326291,0.7406665,-0.7329658,0.68189895,-2.4957426,-1.6000276000000002,-1.8637766,-1.8403639999999999
595647,-1.4192656000000001,-0.8042134,-1.1878681,0.52833116,0.60651875,0.73137283,-0.8207363999999999,0.66721284,-2.4967916,-1.5991243999999998,-1.8637092,-1.8412186000000001
595648,-1.4216806,-0.80366576,-1.164351,0.605772,0.6848116999999999,0.6779234000000001,-0.8249483,0.616083,-2.4940636,-1.5998462,-1.8636608000000001,-1.8411006
595649,-1.4285201,-0.8025544,-1.147427,0.65786505,0.7498943,0.63915163,-0.83774066,0.57892615,-2.491995,-1.6013261,-1.8597843999999997,-1.8393427
595650,-1.4274321,-0.80180967,-1.1764543,0.6152281999999999,0.778468,0.6523300999999999,-0.90404385,0.5866595,-2.493379,-1.6009662,-1.8566607,-1.8367735
595651,-1.4249899,-0.80145967,-1.1969225000000001,0.5957216999999999,0.7967786,0.65895563,-0.9421506,0.5898126,-2.4922519,-1.5997511999999998,-1.8565171999999999,-1.8319794999999999
595652,-1.4203516,-0.80071294,-1.1718066999999999,0.6523705,0.83497834,0.6217249,-0.92254424,0.55584633,-2.4939473,-1.6001321000000002,-1.8552837,-1.8250127
595653,-1.4159392,-0.79969543,-1.0986203,0.769452,0.8877560999999999,0.54914004,-0.8604618,0.49171695,-2.4938803,-1.5989761,-1.8515164000000002,-1.8201512999999998
595654,-1.4178903999999999,-0.7987595000000001,-0.974817,0.9298989,0.9505104999999999,0.4477076,-0.7726969,0.40292412,-2.4831595,-1.5980096000000001,-1.8477422,-1.8146113999999998
595655,-1.4233127,-0.7980001,-0.8483447000000001,1.0779011,1.0108030000000001,0.3523712,-0.6968226,0.31931937,-2.4818566000000004,-1.5984684999999998,-1.8450378,-1.8090656000000003
595656,-1.4287348999999998,-0.79722476,-0.7595135999999999,1.1828295,1.0535518,0.28534693,-0.64233387,0.26060337,-2.4743588,-1.5956645,-1.8422046000000003,-1.8073505
595657,-1.4280754,-0.79651874,-0.6725696999999999,1.2762139,1.089791,0.22346821,-0.5932147,0.20551561,-2.4840457000000002,-1.5919714,-1.8393807,-1.8069800999999999
595658,-1.4302847,-0.7964864,-0.5585501,1.3686530000000001,1.1319082,0.15173183,-0.5487174,0.13963018,-2.4735281000000002,-1.5913153,-1.8373392,-1.8051863000000001
595659,-1.4368421999999998,-0.7975236,-0.48272829999999994,1.4318937,1.1650515,0.10499116,-0.523328,0.09705139,-2.474715,-1.5924592,-1.8359575000000001,-1.8006971
595660,-1.4435291000000001,-0.79884976,-0.49022153,1.4390399999999999,1.1697346000000002,0.104839586,-0.5204795,0.09827075,-2.4767492,-1.5922966,-1.8353720000000002,-1.795559
